layer,role,indicator_id,W,q,eligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
C,A,C1_LogMASpread_5_60,120,0.1,1730769,233810,1353932,143027,0.13509024023425426,793,11,31766,31613,153,233810,7.360385317635208,6.579952545723525,1,1.0,3.0,5.0,10.0,17.0,21.0,30.0,59,3860,0.12151356796574954
C,A,C1_LogMASpread_5_60,120,0.2,1730769,391955,1195787,143027,0.22646291908394478,794,11,37334,37091,243,391955,10.498607167729148,9.848719677485606,1,2.0,3.0,7.0,15.0,24.0,31.0,44.0,80,3267,0.08750736593989393
C,A,C1_LogMASpread_5_60,120,0.3,1730769,541836,1045906,143027,0.31306084174144555,794,11,39263,38915,348,541836,13.80016809719074,13.247163638978723,1,2.0,4.0,9.0,19.0,32.0,41.0,59.0,109,2752,0.07009143468405368
C,A,C1_LogMASpread_5_60,250,0.1,1730769,183874,1300733,246162,0.10623832527622115,789,10,25444,25339,105,183874,7.226615312057852,6.8221156745456115,1,1.0,2.0,5.0,10.0,16.0,21.0,32.0,59,3077,0.12093224335796258
C,A,C1_LogMASpread_5_60,250,0.2,1730769,330271,1154336,246162,0.1908232698875471,789,10,31772,31585,187,330271,10.395033362709304,10.270495608775567,1,2.0,3.0,7.0,14.0,24.0,31.0,48.0,89,2788,0.08775022031977842
C,A,C1_LogMASpread_5_60,250,0.3,1730769,473253,1011354,246162,0.2734351031246804,790,10,34238,33969,269,473253,13.822448741164788,13.982919144555675,1,2.0,4.0,9.0,19.0,32.0,42.0,65.0,138,2384,0.0696302354109469
C,A,C1_LogMASpread_5_60,500,0.1,1730769,151090,1136545,443134,0.08729645608397192,778,9,20729,20663,66,151090,7.288822422692846,7.219840783132094,1,1.0,2.0,5.0,10.0,16.0,22.0,35.0,72,2651,0.12788846543489796
C,A,C1_LogMASpread_5_60,500,0.2,1730769,281482,1006153,443134,0.1626340661289866,778,9,26510,26377,133,281482,10.617955488494907,11.06371086864845,1,2.0,3.0,7.0,14.0,24.0,32.0,53.0,137,2348,0.0885703508110147
C,A,C1_LogMASpread_5_60,500,0.3,1730769,407914,879721,443134,0.23568367586893457,781,9,28628,28426,202,407914,14.248777420707,15.129028094434368,1,2.0,4.0,9.0,19.0,33.0,44.0,72.0,225,1999,0.06982674304876345
C,B,C2_AdjVWAPSpread_5_60,120,0.1,1730769,224960,1338598,167211,0.12997690621914304,793,11,32728,32553,175,224960,6.8736250305548765,6.215567450680746,1,1.0,2.0,5.0,9.0,16.0,20.0,29.0,54,4372,0.13358592031288194
C,B,C2_AdjVWAPSpread_5_60,120,0.2,1730769,377593,1185965,167211,0.21816487353309424,793,11,38495,38215,280,377593,9.808884270684505,9.229115449181407,1,2.0,3.0,7.0,14.0,23.0,29.0,42.0,91,3763,0.09775295492921159
C,B,C2_AdjVWAPSpread_5_60,120,0.3,1730769,522684,1040874,167211,0.30199524026603203,793,11,40700,40325,375,522684,12.842358722358723,12.41083045515552,1,2.0,4.0,9.0,18.0,30.0,39.0,56.0,134,3275,0.08046683046683047
C,B,C2_AdjVWAPSpread_5_60,250,0.1,1730769,178522,1281901,270346,0.1031460581972522,789,10,26397,26255,142,178522,6.7629654885024815,6.444118712007814,1,1.0,2.0,5.0,9.0,15.0,20.0,30.0,62,3671,0.13906883357957345
C,B,C2_AdjVWAPSpread_5_60,250,0.2,1730769,321261,1139162,270346,0.18561749141566553,789,10,33000,32758,242,321261,9.735181818181818,9.722045039993485,1,2.0,3.0,6.0,13.0,22.0,29.0,46.0,118,3234,0.098
C,B,C2_AdjVWAPSpread_5_60,250,0.3,1730769,460943,999480,270346,0.26632265773190994,790,10,35710,35372,338,460943,12.907952954354522,13.223627803265018,1,2.0,4.0,8.0,18.0,30.0,39.0,62.0,137,2729,0.07642117054046485
C,B,C2_AdjVWAPSpread_5_60,500,0.1,1730769,147815,1115667,467287,0.08540423360945337,776,9,21352,21266,86,147815,6.922770700636943,6.879138358783586,1,1.0,2.0,5.0,9.0,16.0,21.0,33.0,71,2921,0.1368021730985388
C,B,C2_AdjVWAPSpread_5_60,500,0.2,1730769,274589,988893,467287,0.15865144337574802,781,9,27437,27282,155,274589,10.007981922221818,10.431629631867816,1,2.0,3.0,6.0,13.0,23.0,30.0,50.0,127,2678,0.09760542333345483
C,B,C2_AdjVWAPSpread_5_60,500,0.3,1730769,398844,864638,467287,0.2304432307257641,781,9,29877,29639,238,398844,13.349533085651169,14.31791787674318,1,2.0,4.0,9.0,18.0,30.0,41.0,69.0,172,2208,0.07390300230946882
P,A,P1_NATR14,120,0.1,1730769,314578,1309027,107164,0.18175620201193804,794,11,36493,36123,370,314578,8.620228536979695,10.392056642500297,1,1.0,1.0,4.0,12.0,23.0,30.0,46.0,86,9394,0.25741923108541365
P,A,P1_NATR14,120,0.2,1730769,463526,1160079,107164,0.2678150579308966,794,11,40280,39823,457,463526,11.50759682224429,15.265601778691524,1,1.0,2.0,5.0,15.0,33.0,45.0,68.0,157,9912,0.24607745779543197
P,A,P1_NATR14,120,0.3,1730769,602583,1021022,107164,0.3481591130878817,795,11,42637,42087,550,602583,14.132865820766002,19.445189709322314,1,1.0,2.0,5.0,19.0,42.0,57.0,86.0,171,9910,0.23242723456153105
P,A,P1_NATR14,250,0.1,1730769,251274,1268973,210522,0.14518055269074037,789,10,24032,23803,229,251274,10.455808921438082,13.926140004855485,1,1.0,1.0,4.0,14.0,30.0,41.0,63.0,122,6045,0.2515396138482024
P,A,P1_NATR14,250,0.2,1730769,393749,1126498,210522,0.22749945255548257,789,10,29254,28908,346,393749,13.459663635742121,19.681815792015257,1,1.0,2.0,5.0,16.0,40.0,57.0,88.0,228,7086,0.24222328570451904
P,A,P1_NATR14,250,0.3,1730769,525894,994353,210522,0.3038499071799876,791,10,31750,31296,454,525894,16.563590551181104,25.458371294247836,1,1.0,2.0,5.0,20.0,49.0,72.0,117.0,259,7265,0.22881889763779528
P,A,P1_NATR14,500,0.1,1730769,200373,1122556,407840,0.11577108210281095,773,9,16630,16571,59,200373,12.048887552615755,17.448178910306062,1,1.0,2.0,4.0,15.0,34.0,50.0,81.0,184,4116,0.24750450992182801
P,A,P1_NATR14,500,0.2,1730769,328073,994856,407840,0.1895533141626641,777,9,20604,20503,101,328073,15.92278198408076,25.223183894633404,1,1.0,2.0,5.0,19.0,46.0,69.0,123.0,292,4681,0.22718889536012424
P,A,P1_NATR14,500,0.3,1730769,446315,876614,407840,0.25787092327167865,782,9,23372,23229,143,446315,19.09614068115694,32.545175333073566,1,1.0,2.0,6.0,21.0,54.0,83.0,159.0,333,5217,0.22321581379428376
P,B,P2_LogRange20,120,0.1,1730769,229565,1390047,111157,0.13263757324056533,794,11,31343,31141,202,229565,7.32428293398845,6.629251220121687,1,1.0,2.0,5.0,10.0,16.0,21.0,30.0,68,4986,0.1590785821395527
P,B,P2_LogRange20,120,0.2,1730769,388255,1231357,111157,0.2243251410211299,794,11,38610,38292,318,388255,10.055814555814555,9.802518862144069,1,1.0,3.0,7.0,14.0,23.0,30.0,45.0,84,4880,0.12639212639212638
P,B,P2_LogRange20,120,0.3,1730769,541819,1077793,111157,0.3130510195179137,796,11,42259,41826,433,541819,12.82138716013157,12.887571292931488,1,1.0,4.0,8.0,18.0,30.0,39.0,58.0,126,4429,0.10480607681204004
P,B,P2_LogRange20,250,0.1,1730769,195866,1320421,214482,0.11316703731116053,789,10,24096,23954,142,195866,8.128569057104913,8.04637856765379,1,1.0,2.0,5.0,11.0,19.0,25.0,38.0,82,3588,0.14890438247011953
P,B,P2_LogRange20,250,0.2,1730769,343915,1172372,214482,0.19870647093864058,790,10,31559,31318,241,343915,10.897525270128964,11.442303673245645,1,1.0,3.0,7.0,15.0,26.0,34.0,53.0,121,3835,0.12151842580563389
P,B,P2_LogRange20,250,0.3,1730769,485986,1030301,214482,0.2807919485500376,790,10,35307,34969,338,485986,13.764579261902739,14.879216103428156,1,1.0,4.0,9.0,18.0,33.0,45.0,70.0,145,3535,0.10012178888039198
P,B,P2_LogRange20,500,0.1,1730769,166161,1152843,411765,0.09600414613388615,779,9,18602,18550,52,166161,8.932426620793462,9.252173407988103,1,1.0,3.0,6.0,12.0,21.0,28.0,44.0,89,2545,0.136813245887539
P,B,P2_LogRange20,500,0.2,1730769,297293,1021711,411765,0.1717693117914638,781,9,24966,24864,102,297293,11.907914764079148,13.45365426119892,1,1.0,3.0,7.0,16.0,28.0,39.0,64.0,164,2868,0.1148762316750781
P,B,P2_LogRange20,500,0.3,1730769,422114,896890,411765,0.24388812140730506,782,9,28329,28185,144,422114,14.90042006424512,17.717080683098445,1,2.0,4.0,9.0,19.0,36.0,49.0,83.0,244,2812,0.09926224010731052
T,A,T1_ER20,120,0.1,1730769,182520,1436294,111955,0.10545601406080188,796,11,111640,111538,102,182520,1.6348978860623433,1.098424184667508,1,1.0,1.0,1.0,2.0,3.0,4.0,6.0,16,70363,0.63026692941598
T,A,T1_ER20,120,0.2,1730769,346102,1272712,111955,0.1999700711071206,796,11,141588,141411,177,346102,2.4444303189535836,2.0655214398113575,1,1.0,1.0,2.0,3.0,5.0,7.0,10.0,28,62708,0.4428906404497556
T,A,T1_ER20,120,0.3,1730769,505925,1112889,111955,0.2923122611971904,796,11,147172,146925,247,505925,3.437644388878319,3.2463947351015845,1,1.0,1.0,2.0,4.0,8.0,10.0,16.0,42,50278,0.3416274834887071
T,A,T1_ER20,250,0.1,1730769,160261,1355234,215274,0.09259525679047868,792,10,101761,101684,77,160261,1.5748764261357495,0.9929177721993132,1,1.0,1.0,1.0,2.0,3.0,4.0,5.0,15,65793,0.6465443539273396
T,A,T1_ER20,250,0.2,1730769,312481,1203014,215274,0.18054460185039137,792,10,131749,131590,159,312481,2.371790298218582,1.9093078446935592,1,1.0,1.0,2.0,3.0,5.0,6.0,10.0,23,58555,0.44444360108995135
T,A,T1_ER20,250,0.3,1730769,463385,1052110,215274,0.2677335912533677,792,10,136110,135889,221,463385,3.4044890162368673,3.0904773008089497,1,1.0,1.0,2.0,4.0,7.0,10.0,15.0,48,45859,0.33692601572257735
T,A,T1_ER20,500,0.1,1730769,136261,1181958,412550,0.07872858827492288,785,9,88366,88274,92,136261,1.542007106805785,0.9416854932245556,1,1.0,1.0,1.0,2.0,3.0,3.0,5.0,14,57961,0.655919697621257
T,A,T1_ER20,500,0.2,1730769,268814,1049405,412550,0.15531477626419238,785,9,114630,114455,175,268814,2.3450580127366307,1.8554850845927278,1,1.0,1.0,2.0,3.0,5.0,6.0,9.0,20,51056,0.4453982378086016
T,A,T1_ER20,500,0.3,1730769,400837,917382,412550,0.23159474199041005,785,9,118667,118411,256,400837,3.3778303993528107,3.008932813166372,1,1.0,1.0,2.0,4.0,7.0,9.0,14.0,45,39453,0.3324681672242494
T,B,T2_AbsTrendT20,120,0.1,1730769,183235,1436377,111157,0.10586912522699447,796,11,79451,79352,99,183235,2.306264238335578,1.696131430249277,1,1.0,1.0,2.0,3.0,4.0,6.0,9.0,25,30380,0.3823740418622799
T,B,T2_AbsTrendT20,120,0.2,1730769,345510,1274102,111157,0.19962802661707021,797,11,82002,81803,199,345510,4.213433818687349,3.044301380737678,1,2.0,2.0,3.0,5.0,8.0,10.0,16.0,34,8011,0.09769273920148289
T,B,T2_AbsTrendT20,120,0.3,1730769,504118,1115494,111157,0.29126821661353997,797,11,80358,80077,281,504118,6.273401528161477,4.4211498002818725,1,2.0,3.0,5.0,8.0,12.0,15.0,22.0,44,3366,0.04188755319943254
T,B,T2_AbsTrendT20,250,0.1,1730769,160657,1355630,214482,0.09282405682098535,792,10,73958,73872,86,160657,2.1722734525000678,1.613616156745936,1,1.0,1.0,2.0,3.0,4.0,5.0,8.0,20,30685,0.41489764460910245
T,B,T2_AbsTrendT20,250,0.2,1730769,312253,1204034,214482,0.1804128684994936,792,10,75712,75550,162,312253,4.124220731191885,2.9635480164732355,1,2.0,2.0,3.0,5.0,8.0,10.0,15.0,36,6188,0.08173076923076923
T,B,T2_AbsTrendT20,250,0.3,1730769,462262,1054025,214482,0.26708474672241067,792,10,73736,73511,225,462262,6.269149397851796,4.357964598578808,1,3.0,4.0,5.0,8.0,12.0,15.0,22.0,55,2427,0.03291472279483563
T,B,T2_AbsTrendT20,500,0.1,1730769,136769,1182235,411765,0.07902209942516882,785,9,64800,64733,67,136769,2.1106327160493827,1.5840367990450053,1,1.0,1.0,2.0,2.0,4.0,5.0,8.0,20,28317,0.43699074074074074
T,B,T2_AbsTrendT20,500,0.2,1730769,269663,1049341,411765,0.15580530966293019,785,9,66005,65870,135,269663,4.085493523217938,2.906661016124521,1,2.0,2.0,3.0,5.0,8.0,10.0,15.0,37,4627,0.07010074994318612
T,B,T2_AbsTrendT20,500,0.3,1730769,401967,917037,411765,0.2322476309663508,785,9,64075,63865,210,401967,6.273382754584471,4.342156963427926,1,3.0,4.0,5.0,8.0,12.0,15.0,22.0,52,1869,0.029168942645337495
V,A,V1_TurnoverShrink20_60,120,0.1,1730769,219500,1347578,163691,0.12682223913185411,793,11,18475,18405,70,219500,11.880920162381596,10.676819753340398,1,1.0,3.0,9.0,19.0,27.0,32.0,44.0,71,2786,0.15079837618403247
V,A,V1_TurnoverShrink20_60,120,0.2,1730769,346703,1220375,163691,0.2003173155978643,793,11,22376,22231,145,346703,15.494413657490169,14.63968327298379,1,1.0,3.0,10.0,26.0,37.0,44.0,57.0,103,3097,0.1384072220235967
V,A,V1_TurnoverShrink20_60,120,0.3,1730769,477695,1089383,163691,0.2760015923557679,794,11,25271,25055,216,477695,18.90289264374184,18.251208088714918,1,1.0,3.0,12.0,31.0,47.0,54.0,68.0,108,3288,0.13010961180800126
V,A,V1_TurnoverShrink20_60,250,0.1,1730769,161990,1302013,266766,0.09359423470145352,784,10,13346,13286,60,161990,12.137719166791548,11.63873866468637,1,1.0,3.0,8.0,19.0,30.0,36.0,46.0,68,2116,0.15854937809081374
V,A,V1_TurnoverShrink20_60,250,0.2,1730769,291230,1172773,266766,0.1682662446577215,788,10,18288,18165,123,291230,15.924650043744531,15.557126320412788,1,1.0,3.0,10.0,25.0,40.0,48.0,60.0,92,2482,0.13571741032370954
V,A,V1_TurnoverShrink20_60,250,0.3,1730769,427413,1036590,266766,0.24694976625996884,789,10,22107,21925,182,427413,19.333830913285386,18.810636838193183,1,1.0,4.0,13.0,30.0,48.0,57.0,73.0,115,2648,0.11978106482109739
V,A,V1_TurnoverShrink20_60,500,0.1,1730769,125895,1141373,463501,0.0727393430319124,770,9,9835,9773,62,125895,12.800711743772242,12.499962965240218,1,1.0,3.0,8.0,20.0,31.0,38.0,53.0,79,1461,0.1485510930350788
V,A,V1_TurnoverShrink20_60,500,0.2,1730769,243431,1023837,463501,0.14064904097542769,774,9,14714,14578,136,243431,16.544175615060485,15.913340440846614,1,1.0,3.0,11.0,25.0,40.0,49.0,63.0,104,1826,0.12409949707761316
V,A,V1_TurnoverShrink20_60,500,0.3,1730769,363358,903910,463501,0.2099402057698052,777,9,18293,18072,221,363358,19.863226370742908,19.05656379522204,1,1.0,4.0,14.0,32.0,49.0,58.0,73.0,124,2163,0.11824195047285847
V,B,V2_AmountLevel20Pct,120,0.1,1730769,293186,1326426,111157,0.1693963781417393,796,11,21458,21335,123,293186,13.663249137850684,12.938893021254547,1,1.0,3.0,10.0,21.0,31.0,39.0,56.0,118,3083,0.14367601826824494
V,B,V2_AmountLevel20Pct,120,0.2,1730769,434129,1185483,111157,0.2508301223329052,796,11,23327,23147,180,434129,18.610580014575383,18.71382990884929,1,1.0,3.0,13.0,29.0,44.0,56.0,79.0,159,3000,0.1286063360054872
V,B,V2_AmountLevel20Pct,120,0.3,1730769,568848,1050764,111157,0.3286677771557036,797,11,24370,24125,245,568848,23.34214197784161,24.358727014593022,1,1.0,4.0,15.0,36.0,56.0,72.0,104.0,257,2807,0.11518260155929422
V,B,V2_AmountLevel20Pct,250,0.1,1730769,222101,1294186,214482,0.12832503933222747,779,10,13678,13479,199,222101,16.237827167714578,17.07422293551326,1,1.0,3.0,10.0,25.0,39.0,49.0,75.0,154,1888,0.13803187600526393
V,B,V2_AmountLevel20Pct,250,0.2,1730769,351209,1165078,214482,0.2029207826116599,786,10,15480,15177,303,351209,22.687919896640828,26.140364329239382,1,1.0,4.0,14.0,32.0,56.0,76.0,119.0,261,1888,0.12196382428940568
V,B,V2_AmountLevel20Pct,250,0.3,1730769,469699,1046588,214482,0.2713816806286685,788,10,16923,16551,372,469699,27.755067068486674,33.661801417335624,1,1.0,4.0,16.0,39.0,70.0,96.0,155.0,309,1880,0.11109141405188205
V,B,V2_AmountLevel20Pct,500,0.1,1730769,162937,1156067,411765,0.09414139032996316,746,9,8049,7900,149,162937,20.243135793266244,23.621200882255188,1,1.0,3.0,12.0,29.0,49.0,67.0,111.51999999999953,259,954,0.11852404025344764
V,B,V2_AmountLevel20Pct,500,0.2,1730769,265165,1053839,411765,0.1532064648719731,753,9,9713,9483,230,265165,27.300010295480284,34.989436759111065,1,1.0,4.0,15.0,36.0,69.0,99.0,162.8799999999992,346,1110,0.11427983115412334
V,B,V2_AmountLevel20Pct,500,0.3,1730769,362317,956687,411765,0.20933873902294298,760,9,11003,10717,286,362317,32.92892847405253,45.16211524633893,1,1.0,4.0,17.0,41.0,83.0,126.0,218.0,436,1197,0.10878851222393893
