formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,layer,q_dimension,indicator_a,indicator_b,common_eligible_rows,both_hit,a_only,b_only,neither,A_given_B,B_given_A,jaccard,continuous_score_spearman,redundancy_conflict,threshold_response_scope,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,185298,161405,228761,991614,0.4475159337195907,0.5344574462868795,0.3219975532787455,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V,0.3,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,289588,188107,253999,835384,0.5327353303151106,0.6062194496488345,0.3957774698166173,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T,0.25,T1_ER20,T2_AbsTrendT20,1618814,227573,198670,197177,995394,0.535781047675103,0.5339043691040087,0.3650396201597639,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,185298,161405,228761,991614,0.4475159337195907,0.5344574462868795,0.3219975532787455,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V,0.25,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,235029,176879,244371,910799,0.49025657071339174,0.570586150305408,0.3581236029188805,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T,0.3,T1_ER20,T2_AbsTrendT20,1618814,301192,204733,202645,910244,0.5977965095854413,0.5953293472352621,0.4250702118351045,0.6554608271671122,complementary,frozen_q_and_immediate_neighbors,true
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,185298,161405,228761,991614,0.4475159337195907,0.5344574462868795,0.3219975532787455,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1516287,228750,163224,115165,1009148,0.6651352805198959,0.5835846255108758,0.45105976862359237,0.7280039875198752,complementary,frozen_q_and_immediate_neighbors,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1460423,264651,62284,56610,1076878,0.8237881348809846,0.8094911832627281,0.6900129059171675,0.9193580804802391,complementary,frozen_q_and_immediate_neighbors,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,T,0.2,T1_ER20,T2_AbsTrendT20,1515495,139404,173077,172687,1030327,0.4466774113960351,0.44611992409138473,0.28733139860831713,0.6664633960030654,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1464003,123768,167462,212986,959787,0.367532382688847,0.4249836898671153,0.24546622875910323,0.5289351107822873,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1516287,228750,163224,115165,1009148,0.6651352805198959,0.5835846255108758,0.45105976862359237,0.7280039875198752,complementary,frozen_q_and_immediate_neighbors,true
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1460423,264651,62284,56610,1076878,0.8237881348809846,0.8094911832627281,0.6900129059171675,0.9193580804802391,complementary,frozen_q_and_immediate_neighbors,true
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1515495,139404,173077,172687,1030327,0.4466774113960351,0.44611992409138473,0.28733139860831713,0.6664633960030654,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,V,0.3,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1464003,215403,212010,234928,801662,0.4783215012957136,0.5039692288255153,0.3252146552908547,0.5289351107822873,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1516287,228750,163224,115165,1009148,0.6651352805198959,0.5835846255108758,0.45105976862359237,0.7280039875198752,complementary,frozen_q_and_immediate_neighbors,true
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1460423,264651,62284,56610,1076878,0.8237881348809846,0.8094911832627281,0.6900129059171675,0.9193580804802391,complementary,frozen_q_and_immediate_neighbors,true
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,T,0.25,T1_ER20,T2_AbsTrendT20,1515495,200954,183762,183256,947523,0.5230316753858567,0.5223437548737251,0.353809694844112,0.6664633960030654,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1464003,123768,167462,212986,959787,0.367532382688847,0.4249836898671153,0.24546622875910323,0.5289351107822873,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1516287,228750,163224,115165,1009148,0.6651352805198959,0.5835846255108758,0.45105976862359237,0.7280039875198752,complementary,frozen_q_and_immediate_neighbors,true
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1460423,264651,62284,56610,1076878,0.8237881348809846,0.8094911832627281,0.6900129059171675,0.9193580804802391,complementary,frozen_q_and_immediate_neighbors,true
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1515495,139404,173077,172687,1030327,0.4466774113960351,0.44611992409138473,0.28733139860831713,0.6664633960030654,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,V,0.25,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1464003,165198,190678,226260,881867,0.4220069586009227,0.46420101383628004,0.2837790481949235,0.5289351107822873,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1516287,228750,163224,115165,1009148,0.6651352805198959,0.5835846255108758,0.45105976862359237,0.7280039875198752,complementary,frozen_q_and_immediate_neighbors,true
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1460423,264651,62284,56610,1076878,0.8237881348809846,0.8094911832627281,0.6900129059171675,0.9193580804802391,complementary,frozen_q_and_immediate_neighbors,true
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,T,0.3,T1_ER20,T2_AbsTrendT20,1515495,273945,189440,188092,864018,0.5929070615556763,0.5911822782351608,0.4204983445309658,0.6664633960030654,complementary,frozen_q_and_immediate_neighbors,true
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1464003,123768,167462,212986,959787,0.367532382688847,0.4249836898671153,0.24546622875910323,0.5289351107822873,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
