metric_id,layer,entity_level,numerator_or_aggregation,denominator,deduplication_key,included_rows,excluded_rows,censoring_policy,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy,availability_basis
eligible_days,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_state_days,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_state_coverage,atomic_confirmed_state_baseline,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_confirmed_interval_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_mean,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_median,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_q90,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_duration_q95,atomic_confirmed_state_baseline,atomic_confirmed_interval,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_singleton_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
atomic_fragment_rate,atomic_confirmed_state_baseline,atomic_confirmed_interval,explicit numerator divided by the corresponding eligible entity population,eligible atomic_confirmed_interval population in the same route/cell/scope,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
natural_exit_count,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
quality_interruption_count,atomic_confirmed_state_baseline,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
left_censored_atomic_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
right_censored_atomic_count,atomic_confirmed_state_baseline,atomic_confirmed_interval,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include only the explicitly named right-censored/open state as observed at sample end,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
upstream_reconciliation_status,atomic_confirmed_state_baseline,eligible_day,exact contract invariant status,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,evaluate the exact contract invariant over both finalized and explicitly censored records,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualified_component_count,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
unqualified_component_count,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
component_qualification_rate,d_qualified_component,confirmed_component,explicit numerator divided by the corresponding eligible entity population,eligible confirmed_component population in the same route/cell/scope,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualified_confirmed_days_retrospective,d_qualified_component,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualified_confirmed_days_as_of,d_qualified_component,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
retrospective_qualified_coverage,d_qualified_component,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
asof_qualified_risk_set_coverage,d_qualified_component,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
prequalification_confirmed_days,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
retained_confirmed_day_ratio,d_qualified_component,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
short_interval_drop_rate,d_qualified_component,atomic_confirmed_interval,explicit numerator divided by the corresponding eligible entity population,eligible atomic_confirmed_interval population in the same route/cell/scope,"route_id,candidate_role,security_id,atomic_interval_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualification_delay_confirmed_days,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualification_delay_calendar_mean,d_qualified_component,confirmed_component,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualification_delay_calendar_median,d_qualified_component,confirmed_component,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
unqualified_reentry_count,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
unqualified_reentry_rate,d_qualified_component,confirmed_component,explicit numerator divided by the corresponding eligible entity population,eligible confirmed_component population in the same route/cell/scope,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
prequalification_right_censored_count,d_qualified_component,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include only the explicitly named right-censored/open state as observed at sample end,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
total_event_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
natural_finalized_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
quality_break_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
right_censored_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include only the explicitly named right-censored/open state as observed at sample end,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
active_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include only the explicitly named right-censored/open state as observed at sample end,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
gap_pending_zone_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include only the explicitly named right-censored/open state as observed at sample end,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
