primary_candidate_cell_id,comparison_candidate_cell_id,intersection_confirmed_days,W120_only_confirmed_days,W250_only_confirmed_days,union_confirmed_days,confirmed_day_jaccard,W120_own_eligible_days,W250_own_eligible_days,common_eligible_days,matched_event_count,overlapping_event_count
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w250_q20_shared__d1__g0,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,2713,2739
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w250_q20_shared__d1__g1,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,2613,2634
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w250_q20_shared__d1__g2,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,2563,2582
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w250_q20_shared__d2__g0,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,1370,1379
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w250_q20_shared__d2__g1,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,1336,1344
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w250_q20_shared__d2__g2,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,1319,1325
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w250_q20_shared__d3__g0,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,676,677
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w250_q20_shared__d3__g1,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,668,670
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w250_q20_shared__d3__g2,5529,6947,5324,17800,0.3106179775280899,1602732,1503671,1503078,665,665
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary__d1__g0,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,4056,4120
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary__d1__g1,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,3868,3921
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary__d1__g2,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,3762,3811
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary__d2__g0,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,2366,2386
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary__d2__g1,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,2297,2315
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary__d2__g2,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,2262,2278
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary__d3__g0,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,1356,1362
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary__d3__g1,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,1331,1337
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary__d3__g2,9804,10670,8522,28996,0.33811560215202097,1602732,1503671,1503078,1319,1322
r2_s_pcvt_w120_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared__d1__g0,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,466,467
r2_s_pcvt_w120_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared__d1__g1,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,458,459
r2_s_pcvt_w120_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared__d1__g2,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,451,454
r2_s_pcvt_w120_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared__d2__g0,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,223,223
r2_s_pcvt_w120_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared__d2__g1,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,220,220
r2_s_pcvt_w120_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared__d2__g2,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,219,219
r2_s_pcvt_w120_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared__d3__g0,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,88,88
r2_s_pcvt_w120_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared__d3__g1,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,88,88
r2_s_pcvt_w120_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared__d3__g2,839,2100,1303,4242,0.1977840641206978,1601692,1503366,1502696,88,88
r2_s_pcvt_w120_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary__d1__g0,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,828,834
r2_s_pcvt_w120_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary__d1__g1,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,808,811
r2_s_pcvt_w120_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary__d1__g2,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,797,801
r2_s_pcvt_w120_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary__d2__g0,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,387,387
r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary__d2__g1,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,380,380
r2_s_pcvt_w120_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary__d2__g2,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,378,379
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary__d3__g0,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,177,177
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary__d3__g1,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,176,176
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary__d3__g2,1555,3009,2035,6599,0.23564176390362176,1601692,1503366,1502696,176,176
