candidate_cell_id,hard_gate_status,gate_count,passed_gate_count,failed_gate_count,missing_evidence_count,route_id,state_line,W,d,g
r2_s_pct_w120_q20_shared__d1__g0,passed,40,40,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,1,0
r2_s_pct_w120_q20_shared__d1__g1,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,1,1
r2_s_pct_w120_q20_shared__d1__g2,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,1,2
r2_s_pct_w120_q20_shared__d2__g0,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,2,0
r2_s_pct_w120_q20_shared__d2__g1,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,2,1
r2_s_pct_w120_q20_shared__d2__g2,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,2,2
r2_s_pct_w120_q20_shared__d3__g0,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,3,0
r2_s_pct_w120_q20_shared__d3__g1,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,3,1
r2_s_pct_w120_q20_shared__d3__g2,passed,10,10,0,0,r2_s_pct_w120_q20_shared,S_PCT,120,3,2
r2_s_pct_w120_qt25_primary__d1__g0,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,1,0
r2_s_pct_w120_qt25_primary__d1__g1,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,1,1
r2_s_pct_w120_qt25_primary__d1__g2,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,1,2
r2_s_pct_w120_qt25_primary__d2__g0,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,2,0
r2_s_pct_w120_qt25_primary__d2__g1,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,2,1
r2_s_pct_w120_qt25_primary__d2__g2,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,2,2
r2_s_pct_w120_qt25_primary__d3__g0,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,3,0
r2_s_pct_w120_qt25_primary__d3__g1,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,3,1
r2_s_pct_w120_qt25_primary__d3__g2,passed,10,10,0,0,r2_s_pct_w120_qt25_primary,S_PCT,120,3,2
r2_s_pct_w250_q20_shared__d1__g0,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,1,0
r2_s_pct_w250_q20_shared__d1__g1,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,1,1
r2_s_pct_w250_q20_shared__d1__g2,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,1,2
r2_s_pct_w250_q20_shared__d2__g0,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,2,0
r2_s_pct_w250_q20_shared__d2__g1,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,2,1
r2_s_pct_w250_q20_shared__d2__g2,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,2,2
r2_s_pct_w250_q20_shared__d3__g0,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,3,0
r2_s_pct_w250_q20_shared__d3__g1,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,3,1
r2_s_pct_w250_q20_shared__d3__g2,passed,10,10,0,0,r2_s_pct_w250_q20_shared,S_PCT,250,3,2
r2_s_pct_w250_qt25_primary__d1__g0,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,1,0
r2_s_pct_w250_qt25_primary__d1__g1,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,1,1
r2_s_pct_w250_qt25_primary__d1__g2,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,1,2
r2_s_pct_w250_qt25_primary__d2__g0,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,2,0
r2_s_pct_w250_qt25_primary__d2__g1,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,2,1
r2_s_pct_w250_qt25_primary__d2__g2,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,2,2
r2_s_pct_w250_qt25_primary__d3__g0,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,3,0
r2_s_pct_w250_qt25_primary__d3__g1,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,3,1
r2_s_pct_w250_qt25_primary__d3__g2,passed,10,10,0,0,r2_s_pct_w250_qt25_primary,S_PCT,250,3,2
r2_s_pcvt_w120_q20_shared__d1__g0,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,0
r2_s_pcvt_w120_q20_shared__d1__g1,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,1
r2_s_pcvt_w120_q20_shared__d1__g2,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,2
r2_s_pcvt_w120_q20_shared__d2__g0,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,0
r2_s_pcvt_w120_q20_shared__d2__g1,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,1
r2_s_pcvt_w120_q20_shared__d2__g2,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,2
r2_s_pcvt_w120_q20_shared__d3__g0,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,0
r2_s_pcvt_w120_q20_shared__d3__g1,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,1
r2_s_pcvt_w120_q20_shared__d3__g2,passed,10,10,0,0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,2
r2_s_pcvt_w120_qv30_primary__d1__g0,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,0
r2_s_pcvt_w120_qv30_primary__d1__g1,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,1
r2_s_pcvt_w120_qv30_primary__d1__g2,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,2
r2_s_pcvt_w120_qv30_primary__d2__g0,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,0
r2_s_pcvt_w120_qv30_primary__d2__g1,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,1
r2_s_pcvt_w120_qv30_primary__d2__g2,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,2
r2_s_pcvt_w120_qv30_primary__d3__g0,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,0
r2_s_pcvt_w120_qv30_primary__d3__g1,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,1
r2_s_pcvt_w120_qv30_primary__d3__g2,passed,10,10,0,0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,2
r2_s_pcvt_w250_q20_shared__d1__g0,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,0
r2_s_pcvt_w250_q20_shared__d1__g1,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,1
r2_s_pcvt_w250_q20_shared__d1__g2,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,2
r2_s_pcvt_w250_q20_shared__d2__g0,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,0
r2_s_pcvt_w250_q20_shared__d2__g1,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,1
r2_s_pcvt_w250_q20_shared__d2__g2,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,2
r2_s_pcvt_w250_q20_shared__d3__g0,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,0
r2_s_pcvt_w250_q20_shared__d3__g1,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,1
r2_s_pcvt_w250_q20_shared__d3__g2,passed,10,10,0,0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,2
r2_s_pcvt_w250_qv30_primary__d1__g0,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,0
r2_s_pcvt_w250_qv30_primary__d1__g1,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,1
r2_s_pcvt_w250_qv30_primary__d1__g2,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,2
r2_s_pcvt_w250_qv30_primary__d2__g0,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,0
r2_s_pcvt_w250_qv30_primary__d2__g1,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,1
r2_s_pcvt_w250_qv30_primary__d2__g2,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,2
r2_s_pcvt_w250_qv30_primary__d3__g0,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,0
r2_s_pcvt_w250_qv30_primary__d3__g1,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,1
r2_s_pcvt_w250_qv30_primary__d3__g2,passed,10,10,0,0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,2
